Time;BusStatus;BusVoltage;BusCurrent;TotalSystemCurrent;BatteryVoltage1;BatteryTemperature1;BatteryCapacity1;BatteryVoltage2;BatteryTemperature2;BatteryCapacity2;BatteryVoltage3;BatteryTemperature3;BatteryCapacity3
491;20;31;10;10;28;27;9;30;30;9;30;42;9
492;20;32;10;11;29;29;8;29;27;8;31;36;8
493;20;33;8;10;28;36;7;29;46;7;28;46;7
494;20;29;9;9;31;38;6;29;43;6;31;32;6
495;20;33;10;12;29;38;5;30;46;5;29;38;5
496;20;31;10;8;28;46;4;29;48;4;29;37;4
497;20;33;10;9;29;43;3;30;48;3;30;40;3
498;20;28;7;9;31;50;2;31;40;2;28;26;2
499;20;33;7;8;31;46;1;28;50;1;30;38;1
500;20;27;9;9;28;41;0;27;46;0;30;44;0
